model,train_nmf_dir,ext_nmf_dir,train_len,ext_len,rank,train_pattern_id,train_type,ext_pattern_id,cosine_vsim,topk_iou,hybrid_sim,status
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,0,D,0,0.9267444995006887,0.37323358270989193,0.6499890411052903,retained
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,1,V,4,0.8593166186427358,0.2856031128404669,0.5724598657416013,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,2,D,14,0.758769641991413,0.4789615040286482,0.6188655730100305,retained
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,3,V,3,0.543033276467834,0.26590038314176245,0.4044668298047982,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,4,V,7,0.14055248123783717,0.0416141235813367,0.09108330240958694,missing
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,5,V,5,0.4400251955673294,0.2467924528301887,0.34340882419875907,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,6,D,2,0.8657837112637554,0.1988388969521045,0.5323113041079299,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,7,V,9,0.1743184557320412,0.043588123815540114,0.10895328977379065,missing
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,8,V,8,0.19850016191725353,0.09767441860465116,0.14808729026095235,missing
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,9,D,1,0.8180309835486297,0.5197792088316467,0.6689050961901382,retained
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,10,D,13,0.3861082637672363,0.05222929936305733,0.2191687815651468,missing
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,11,O,11,0.6926544485165089,0.31319554848966613,0.5029249985030875,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,12,V,12,0.2668453679741226,0.13150684931506848,0.19917610864459556,missing
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,13,V,10,0.7779485201618479,0.38474434199497065,0.5813464310784093,drifted
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,14,O,6,0.9270118475603719,0.7687366167023555,0.8478742321313637,retained
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L512_checkpoint-15900_salient_R16,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,512,2048,16,15,D,15,0.6404650565785232,0.1674911660777385,0.40397811132813083,drifted
